Возраст,Среднемесячный расход,Средняя продолжительность разговоров,Звонков днем за месяц,Звонков вечером за месяц,Звонков ночью за месяц,Звонки в другие города,Звонки в другие страны,Доля звонков на стационарные телефоны,Количество SMS за месяц,Дата подключения тарифа
24,,2.4,12.0,65.0,5,0,0,5,56,2018-06-17 12:14:35
51,287.51,1.7,111.0,109.0,1,44,0,6,1,2021-10-21 15:39:54
41,113.7,2.1,41.0,27.0,0,0,0,1,36,2015-03-26 11:26:15
35,410.23,5.6,47.0,49.0,0,0,0,11,23,2016-01-04 15:53:20
26,537.6,4.8,58.0,77.0,4,0,0,16,29,2017-05-03 13:33:53
26,324.56,3.3,45.0,75.0,3,1,1,8,15,2016-11-13 15:53:16
50,410.04,4.1,61.0,71.0,0,0,2,23,4,2017-07-19 16:02:01
66,14.52,1.1,10.0,1.0,0,0,0,3,1,2015-04-27 15:25:42
36,209.12,2.5,34.0,70.0,3,2,0,7,63,2017-03-03 12:27:05
40,162.4,1.6,79.0,32.0,4,0,0,18,27,2019-05-22 10:22:37
23,2672.34,13.8,222.0,77.0,10,30,0,20,10,2019-09-01 13:58:28
29,556.92,3.4,97.0,96.0,2,0,0,0,49,2015-11-05 13:27:44
43,636.75,,59.0,64.0,0,0,0,8,18,2021-09-06 10:13:54
21,57.33,2.0,2.0,39.0,8,0,0,2,21,2017-12-14 14:13:53
37,339.2,2.5,41.0,152.0,6,4,0,1,20,2017-07-17 16:58:02
69,50.4,2.1,15.0,5.0,0,0,0,14,3,2018-06-12 17:49:42
46,539.28,5.1,92.0,37.0,0,25,0,27,0,2018-08-03 10:29:20
37,222.09,1.9,61.0,95.0,5,0,0,1,18,2021-07-21 11:12:46
48,202.3,3.4,31.0,41.0,0,30,0,1,4,2016-05-02 16:33:45
52,17.69,,7.0,5.0,0,0,0,0,0,2016-05-18 16:22:22
59,74.88,2.4,9.0,17.0,0,0,0,7,1,2018-06-10 10:56:02
27,245.95,2.7,62.0,55.0,0,0,0,19,23,2021-11-21 14:04:51
30,318.82,3.5,50.0,72.0,0,2,0,12,26,2020-08-15 11:42:09
51,3608.54,13.8,326.0,77.0,15,58,3,58,0,2015-11-18 14:44:29
53,118.44,2.4,36.0,19.0,1,4,0,14,4,2019-11-13 15:45:09
38,166.77,1.7,45.0,91.0,0,0,0,11,56,2016-08-22 14:11:05
53,606.84,7.3,48.0,61.0,3,0,2,5,1,2017-07-02 18:07:04
30,349.59,2.8,69.0,96.0,6,7,1,6,3,2021-03-23 16:37:31
34,180.91,1.6,87.0,54.0,1,36,0,11,30,2019-02-21 16:10:19
59,1187.88,8.4,91.0,93.0,2,0,0,18,5,2019-03-18 16:27:20
43,145.24,2.4,34.0,44.0,6,7,0,12,15,2016-05-08 13:32:51
19,52.43,0.7,29.0,74.0,8,0,0,0,39,2018-07-20 10:59:46
29,237.22,2.8,33.0,86.0,0,1,0,3,55,2019-09-24 17:19:34
41,330.75,7.5,41.0,5.0,0,2,0,7,12,2015-07-03 13:28:18
54,513.68,6.4,35.0,77.0,0,0,0,2,3,2017-03-20 13:36:59
51,214.2,1.7,104.0,34.0,0,38,0,8,4,2016-02-24 15:54:41
51,966.2,6.4,104.0,90.0,0,0,0,18,4,2021-05-26 18:31:24
53,351.26,,106.0,43.0,2,41,2,27,4,2019-03-07 10:03:38
45,189.51,2.5,59.0,36.0,0,0,0,21,3,2016-11-07 13:39:54
53,955.63,5.2,99.0,147.0,3,24,0,12,1,2016-08-07 17:50:31
25,662.73,5.1,87.0,81.0,0,4,0,18,53,2016-10-29 18:08:45
53,,3.8,48.0,73.0,4,0,0,15,4,2019-07-14 14:57:14
60,285.6,2.0,46.0,139.0,0,33,0,4,4,2016-02-11 16:09:17
59,196.0,3.5,35.0,31.0,0,0,0,11,2,2021-07-06 10:21:36
59,310.54,3.9,31.0,81.0,0,2,0,3,2,2017-06-23 15:47:52
